,id,date,dateYear,dateMonth,dateDay,rating,content
0,1,20190920,2019,09,20,4,직관적인 어플이라 타은행보다 사용하기 좋은데 업데이트되면서 이체 시 계좌 검색기능이 없어져서 아쉽습니다. 업뎃 전 버전으로는 굉장히 시간 단축되어 좋았어요. 그런데 이제는 최근 입금계좌에서 일일이 찾거나 입력해야하는 번거로움과 동시에 자주쓰는계좌등록 오류도 잦고 등록하더라도 개수가 많아지면 스크롤바로 하나씩 찾아야해서 효율성이 떨어지고 있습니다. 리뷰보니 저 외에도 다수가 같은 의견 게재하셨더라고요. 매일 이체하는데 시간이 배로 걸리다보니 어플 리뷰 처음 쓰는데 이걸 통해서라도 의견 개진해봅니다. 항상 감사드립니다. 수고하세요.
1,2,20190915,2019,09,15,3,업데이트 이후 이체하기가 많이 불편합니다. 자주사용계좌에 대해 비고에 기록된 내용이 이체 시에 볼수가 없어 몇번을 다시 확인해야 하는 불편함이 있습니다. 예전 같이 자주사용하는 계좌선택시 비고란이 함께 표현될수 있게 다시 고쳐주세요. 동일계좌이름의 다수 계좌번호는 비고로만 구분할수 밖에 없으니 개선 되어야 할 것입니다.
2,3,20190329,2019,03,29,1,진짜 너무하네...업데이트 화면에서 안 넘어감. 휴대폰 껐다켜고 지웠다 다시 깔아야 됨. 조회하려면 무슨 수신메세지? 동의 저장을 항상 눌러야함. 앱 안 되는 부분 수정 및 업데이트 언제되나요... 앱에 투자 안 하나요? 스마트폰 앱 정말 필요한데 국민은행 앱개발팀은 뭐하고 있는지 정말 궁금하네요...
3,4,20191122,2019,11,22,5,예전 기업뱅킹 앱보다 사용환경이 훨씬 좋아졌습니다. 특히 생체인식 지원하는 부분은 개인뱅킹에는 예전부터 있던게 기업뱅킹에는 없어서 답답했는데 이제라도 생겨서 다행입니다. 다른 방면에서도 개인뱅킹 앱에 준하는 편의성을 구현하면 좋겠습니다.
4,5,20201125,2020,11,25,1,문제점 발생 몇년째 예약이체 똑같이 사용하는데 어느순간부터 에러 다량 발생 예약이체의 경우 예약이체명을 입력하지 않으면 otp 에러납니다. 어처구니없게 이유 모르고 otp 잘못 입력한줄 알고 계속 의미없고 쓸데없는 행동을 반복하게 됩니다. 마찬가지로 예약이체일이 공휴일이거나 일요일의 경우 계속 에러납니다. 문제는 그냥 은행 쉬는날이라서 안된다고 설명하면 되는데 딴 이유를 계속대서 쓸데없는 행동을 반복하게 합니다. 은행 안가고 편하려고 폰뱅킹 컴뱅킹하는데 할거면 제대로 운영해주세요 컴뱅킹 도중 예금주 조회했더니 로그인 하라네요. 계속 로그인 되어있었는데.. 과거 관리가 훨씬 잘되었던듯. 몇년전만해도 이런 에러 없었는데 또 시작되었네요 컴홈페이지에서 예약 급여이체하는데 otp 에러라고.. 쓰레기같은 인터넷 뱅킹 유지할거면 차라리 지점을 더 많이 유지하는게 나을듯. 더 문제는 예약이체 일이 문제인지 예약이체 설정하는 날이 문제인지 예약이체명이 문제인지 모른다는거 otp 에러라네 ㅋ
5,6,20190322,2019,03,22,2,"왜 자꾸 앱구동 시작때 메세지 수신 동의 여부 팝업이 뜨는지? 동의로 선택을 해서 저장되었다고 나오는데도 다음에 또 뜹니다. 얼른 수정해주세요. 3/19 업데이트 하면 뭐하누.. 계속 메세지 수신여부 동의는 그대로 뜨는데 앱 삭제후 재설치해도 마찬가지에요. 3/22 결국 스마트고객센터로 몇번에 걸친 통화끝에 들은 답변은 현재 s9,s10 등에서만 나오는 오류이며, 패치는 4월 중순경에나 될거 같다는거 였습니다. 하아..ㅠ"
6,7,20190921,2019,09,21,3,최근 이틀 전부터 앱을 실행하면 업데이트 확인 중 화면 뜨며 다음으로 진행이 되지 않습니다. 앱을 지웠다 재설치해도 마찬가지입니다. 현재 안드로이드 OS에 갤럭시노트8 사용 중입니다. 빠른 해결이 필요할 것 같습니다.
7,8,20190920,2019,09,20,3,업데이트되고나서 깔끔해서 좋긴한데 계좌검색을 왜 없앤ㄱㅓ죠..자주쓰는계좌등록 안ㅎㅐ놓으면 이체 할ㄸㅐ마다 계좌직접 써야되네요ㅠ 장사하다보며ㆍ 이곳저곳 보낼일 많은데 한달에 아님 몇달에 한번 두번 정기적이 아닌 곳에 보내는곳마다 죄다 다 자주쓰는계좌등록 할 필요도 없는데.. 전에처럼 돈 보낸목록에서 예금주 이름 검색해서 계좌번호 선택할수 있게 해주세요 진짜 편했는데..이름만 검색하면 되니
8,9,20190513,2019,05,13,3,소니 엑스페리아 xz1을 사용하고 있는데요 lte에서 어플이 작동하지 않네요 와이파이 환경에서만 어플이 작동합니다 가끔은 와이파이가 없는 곳에서 이체를 실행하려고 하면 난감할때가 있어요 다른 은행 어플은 그런 문제가 없습니다 개선 부탁드려요
9,10,20191122,2019,11,22,4,"대구은행 사용하다 바꿨는데 훨씬 편리하네요..지문인증도 편하고 100만원 이하 otp등록도 안해도 되서 편하게 쓰고 있습니다.. But, 자동이체 등록,변경도 앱에서 가능하면 훨씬 더 좋을 것 같아요~"
10,11,20200301,2020,03,01,1,이체중에 화면 아래에 있는 상품라운지 버튼 좀 없애주세요. 이체하다가 잘못눌러져서 화면 넘어가는 경우가 한두번이 아닙니다. 이체목록 10개 다 입력하고 화면 넘어가서 다시 입력 할려면 얼마나 빡치는지 아십니까? 이거 어플 만드는사람들 뱅킹 사용 안하세요? 망하는 펀드상품 팔아먹을라고 일부라 눌러지게 만들어논거에요? 제발 생각좀하고 만드세요 제발좀요
11,12,20211107,2021,11,07,1,KB모바일 인증서를 KB스타뱅킹에서 발급받고 기업뱅킹에서 연결해서 사용하려고 하니 앱 업데이트를 하라고 하며 연결이 안되네요. 업데이트할 내역이 없는데ㅎ 제 통장에 있는 돈을 지금 1주일 째 사용 못하고 있습니다. 이게 맞나요? 국민은행 10년 넘게 사용중인데 앱 완성도 수준이 무슨 중소기업 같아요ㅋㅋㅋㅋㅋ
12,13,20190910,2019,09,10,1,기업공인인증서 복사 하고 관리창에는 있는걸로 나오는데 로그인할때는 개인공인인증서만 뜨네요. 인증서 전체삭제하고 기업뱅킹공인인증서 복사하기해도 똑같음. 30분후 --------- 한번더 시도했더니 피시에있는거 옮기기 되서 스마트폰도 안되고 피시도 안됨 입금은 밀려있지 와 ㅎㅎㅎㅎ 3류개발자 어플도 이렇게는 안되겠다.
13,14,20220706,2022,07,06,3,입출금 알림 푸쉬기능이 생겼는데 출금 알림이 화면 중간에 팝업이 뜨는 데 상단 바 알림으로 변경 할 수 있는 옵션도 있으면 좋겠어요. 빠른 조치 좀 부탁드립니다.
